# --- HEADER ---

# ANALYSIS DATE: 2019/01/08 18:03:26
# NUMBER OF NODES: 34
# NUMBER OF ELEMENTS: 80
# NUMBER OF CONSTRAINTS: 2
# NUMBER OF LOADS: 16

# TYPE OF ANALYSIS 
# (1: LINEAR STATIC, 2D TRUSS) 
#        ID
ATYP,     1
ATYP,     1
UNIT,     1

# --- NODE ---
#        ID,          X,          Y
NODE,     1,      0.000,      1.500
NODE,     2,      0.000,      0.000
NODE,     3,      2.000,      1.500
NODE,     4,      2.000,      0.000
NODE,     5,      4.000,      1.500
NODE,     6,      4.000,      0.000
NODE,     7,      6.000,      1.500
NODE,     8,      6.000,      0.000
NODE,     9,      8.000,      1.500
NODE,    10,      8.000,      0.000
NODE,    11,     10.000,      1.500
NODE,    12,     10.000,      0.000
NODE,    13,     12.000,      1.500
NODE,    14,     12.000,      0.000
NODE,    15,     14.000,      1.500
NODE,    16,     14.000,      0.000
NODE,    17,     16.000,      1.500
NODE,    18,     16.000,      0.000
NODE,    19,     18.000,      1.500
NODE,    20,     18.000,      0.000
NODE,    21,     20.000,      1.500
NODE,    22,     20.000,      0.000
NODE,    23,     22.000,      1.500
NODE,    24,     22.000,      0.000
NODE,    25,     24.000,      1.500
NODE,    26,     24.000,      0.000
NODE,    27,     26.000,      1.500
NODE,    28,     26.000,      0.000
NODE,    29,     28.000,      1.500
NODE,    30,     28.000,      0.000
NODE,    31,     30.000,      1.500
NODE,    32,     30.000,      0.000
NODE,    33,     31.000,      1.500
NODE,    34,     31.000,      0.000

# --- ELEMENT ---
#        ID,    N1,    N2, MATID, SECID
ELEM,     1,     1,     3,     1,     1
ELEM,     2,     1,     4,     1,     1
ELEM,     3,     2,     4,     1,     1
ELEM,     4,     3,     4,     1,     1
ELEM,     5,     3,     5,     1,     1
ELEM,     6,     3,     6,     1,     1
ELEM,     7,     4,     6,     1,     1
ELEM,     8,     5,     6,     1,     1
ELEM,     9,     5,     7,     1,     1
ELEM,    10,     5,     8,     1,     1
ELEM,    11,     6,     8,     1,     1
ELEM,    12,     7,     8,     1,     1
ELEM,    13,     7,     9,     1,     1
ELEM,    14,     7,    10,     1,     1
ELEM,    15,     8,    10,     1,     1
ELEM,    16,     9,    10,     1,     1
ELEM,    17,     9,    11,     1,     1
ELEM,    18,     9,    12,     1,     1
ELEM,    19,    10,    12,     1,     1
ELEM,    20,    11,    12,     1,     1
ELEM,    21,    11,    13,     1,     1
ELEM,    22,    11,    14,     1,     1
ELEM,    23,    12,    14,     1,     1
ELEM,    24,    13,    14,     1,     1
ELEM,    25,    13,    15,     1,     1
ELEM,    26,    13,    16,     1,     1
ELEM,    27,    14,    16,     1,     1
ELEM,    28,    15,    16,     1,     1
ELEM,    29,    15,    17,     1,     1
ELEM,    30,    15,    18,     1,     1
ELEM,    31,    16,    18,     1,     1
ELEM,    32,    17,    18,     1,     1
ELEM,    33,    17,    19,     1,     1
ELEM,    34,    17,    20,     1,     1
ELEM,    35,    18,    20,     1,     1
ELEM,    36,    19,    20,     1,     1
ELEM,    37,    19,    21,     1,     1
ELEM,    38,    19,    22,     1,     1
ELEM,    39,    20,    22,     1,     1
ELEM,    40,    21,    22,     1,     1
ELEM,    41,    21,    23,     1,     1
ELEM,    42,    21,    24,     1,     1
ELEM,    43,    22,    24,     1,     1
ELEM,    44,    23,    24,     1,     1
ELEM,    45,    23,    25,     1,     1
ELEM,    46,    23,    26,     1,     1
ELEM,    47,    24,    26,     1,     1
ELEM,    48,    25,    26,     1,     1
ELEM,    49,    25,    27,     1,     1
ELEM,    50,    25,    28,     1,     1
ELEM,    51,    26,    28,     1,     1
ELEM,    52,    27,    28,     1,     1
ELEM,    53,    27,    29,     1,     1
ELEM,    54,    27,    30,     1,     1
ELEM,    55,    28,    30,     1,     1
ELEM,    56,    29,    30,     1,     1
ELEM,    57,    29,    31,     1,     1
ELEM,    58,    29,    32,     1,     1
ELEM,    59,    30,    32,     1,     1
ELEM,    60,    31,    32,     1,     1
ELEM,    61,    31,    33,     1,     1
ELEM,    62,    31,    34,     1,     1
ELEM,    63,    32,    34,     1,     1
ELEM,    64,    33,    34,     1,     1
ELEM,    65,     2,     3,     1,     1
ELEM,    66,     4,     5,     1,     1
ELEM,    67,     6,     7,     1,     1
ELEM,    68,     8,     9,     1,     1
ELEM,    69,    10,    11,     1,     1
ELEM,    70,    12,    13,     1,     1
ELEM,    71,    14,    15,     1,     1
ELEM,    72,    16,    17,     1,     1
ELEM,    73,    18,    19,     1,     1
ELEM,    74,    20,    21,     1,     1
ELEM,    75,    22,    23,     1,     1
ELEM,    76,    24,    25,     1,     1
ELEM,    77,    26,    27,     1,     1
ELEM,    78,    28,    29,     1,     1
ELEM,    79,    30,    31,     1,     1
ELEM,    80,    32,    33,     1,     1

# --- MATERIAL ---
#        ID,  NAME,          E
MAT,      1, steel, 210000.000

# --- SECTION ---
#        ID,       AREA, MOM. INERT
SEC,      1,      4.000,     12.000

# --- CONSTRAINTS (0:FREE, 1:FIXED) ---
#        ID,   NID,     X,     Y
CONS,     2,     1,     1,     1
CONS,     3,     2,     1,     1

# --- LOADS ---
#        ID,   NID,          X,          Y
LOAD,     2,     3,      0.000,    -27.100
LOAD,     3,     5,      0.000,    -27.100
LOAD,     4,     7,      0.000,    -27.100
LOAD,     5,     9,      0.000,    -27.100
LOAD,     6,    11,      0.000,    -27.100
LOAD,     7,    13,      0.000,    -27.100
LOAD,     8,    15,      0.000,    -27.100
LOAD,     9,    17,      0.000,    -27.100
LOAD,    10,    19,      0.000,    -27.100
LOAD,    11,    21,      0.000,    -27.100
LOAD,    12,    23,      0.000,    -27.100
LOAD,    13,    25,      0.000,    -27.100
LOAD,    14,    27,      0.000,    -27.100
LOAD,    15,    29,      0.000,    -27.100
LOAD,    16,    31,      0.000,    -20.320
LOAD,    17,    33,      0.000,     -6.780

<END OF INPUT DATA> 
